firstname, lastname, Milestones, Cum, weekYear
anonfirstname1, anonlastname1, , , 38
anonfirstname2, anonlastname2, , , 38
anonfirstname3, anonlastname3, , , 38
anonfirstname1, anonlastname1, , , 39
anonfirstname2, anonlastname2, , , 39
anonfirstname3, anonlastname3, , , 39
anonfirstname1, anonlastname1, , , 40
anonfirstname2, anonlastname2, , , 40
anonfirstname3, anonlastname3, , , 40
anonfirstname1, anonlastname1, , , 41
anonfirstname2, anonlastname2, , , 41
anonfirstname3, anonlastname3, , , 41
anonfirstname1, anonlastname1, 915, 915, 42
anonfirstname2, anonlastname2, , , 42
anonfirstname3, anonlastname3, , , 42
anonfirstname1, anonlastname1, , 915, 43
anonfirstname2, anonlastname2, , , 43
anonfirstname3, anonlastname3, , , 43
anonfirstname1, anonlastname1, , 915, 44
anonfirstname2, anonlastname2, , , 44
anonfirstname3, anonlastname3, , , 44
anonfirstname1, anonlastname1, , 915, 45
anonfirstname2, anonlastname2, , , 45
anonfirstname3, anonlastname3, , , 45
anonfirstname1, anonlastname1, , 915, 46
anonfirstname2, anonlastname2, , , 46
anonfirstname3, anonlastname3, , , 46
anonfirstname1, anonlastname1, , 915, 47
anonfirstname2, anonlastname2, , , 47
anonfirstname3, anonlastname3, , , 47
anonfirstname1, anonlastname1, , 915, 48
anonfirstname2, anonlastname2, , , 48
anonfirstname3, anonlastname3, , , 48
anonfirstname1, anonlastname1, , 915, 49
anonfirstname2, anonlastname2, , , 49
anonfirstname3, anonlastname3, , , 49
anonfirstname1, anonlastname1, , 915, 50
anonfirstname2, anonlastname2, , , 50
anonfirstname3, anonlastname3, , , 50
anonfirstname1, anonlastname1, , 915, 51
anonfirstname2, anonlastname2, , , 51
anonfirstname3, anonlastname3, , , 51
anonfirstname1, anonlastname1, , 915, 52
anonfirstname2, anonlastname2, , , 52
anonfirstname3, anonlastname3, , , 52
